t=0, n=0, m=0, rp=0 ---------> 49380
t=1, n=14, m=3, rp=2 ---------> 49380
t=0, n=15, m=3, rp=2 ---------> 49380
t=1, n=15, m=3, rp=2 ---------> 49380
t=0, n=16, m=3, rp=2 ---------> 49380
t=1, n=16, m=3, rp=2 ---------> 49380
t=0, n=17, m=3, rp=2 ---------> 49380
t=1, n=17, m=3, rp=2 ---------> 49380
t=0, n=18, m=3, rp=2 ---------> 49380
t=1, n=18, m=3, rp=2 ---------> 49380
t=0, n=19, m=3, rp=2 ---------> 49380
t=1, n=19, m=3, rp=2 ---------> 49380
t=0, n=20, m=3, rp=2 ---------> 49380
t=1, n=20, m=3, rp=2 ---------> 49380
t=0, n=21, m=3, rp=2 ---------> 49380
t=1, n=21, m=3, rp=2 ---------> 49380
t=0, n=22, m=3, rp=2 ---------> 49380
t=1, n=22, m=3, rp=2 ---------> 49380
t=0, n=23, m=3, rp=2 ---------> 49380
t=1, n=23, m=3, rp=2 ---------> 49380
t=0, n=24, m=3, rp=2 ---------> 49380
t=1, n=24, m=3, rp=2 ---------> 49380
t=0, n=25, m=3, rp=2 ---------> 49380
t=1, n=25, m=3, rp=2 ---------> 49380
t=0, n=26, m=3, rp=2 ---------> 49380
t=1, n=26, m=3, rp=2 ---------> 49380
t=0, n=27, m=3, rp=2 ---------> 49380
t=1, n=27, m=3, rp=2 ---------> 49380
t=0, n=28, m=3, rp=2 ---------> 49380
t=1, n=28, m=3, rp=2 ---------> 49380
t=0, n=29, m=3, rp=2 ---------> 49380
t=1, n=29, m=3, rp=2 ---------> 49380
t=0, n=30, m=3, rp=2 ---------> 49380
t=1, n=30, m=3, rp=2 ---------> 49380
t=0, n=31, m=3, rp=2 ---------> 49380
t=1, n=31, m=3, rp=2 ---------> 49380
t=0, n=32, m=3, rp=2 ---------> 49380
t=1, n=32, m=3, rp=2 ---------> 49380
t=0, n=33, m=3, rp=2 ---------> 49380
t=1, n=33, m=3, rp=2 ---------> 49380
t=0, n=34, m=3, rp=2 ---------> 49380
t=1, n=34, m=3, rp=2 ---------> 49380
t=0, n=35, m=3, rp=2 ---------> 49380
t=1, n=35, m=3, rp=2 ---------> 49380
t=0, n=36, m=3, rp=2 ---------> 49380
t=1, n=36, m=3, rp=2 ---------> 49380
t=0, n=37, m=3, rp=2 ---------> 49380
t=1, n=37, m=3, rp=2 ---------> 49380
t=0, n=38, m=3, rp=2 ---------> 49380
t=1, n=38, m=3, rp=2 ---------> 49380
t=0, n=39, m=3, rp=2 ---------> 49380
t=1, n=39, m=3, rp=2 ---------> 49380
t=0, n=40, m=3, rp=2 ---------> 49380
t=1, n=40, m=3, rp=2 ---------> 49380
t=0, n=41, m=3, rp=2 ---------> 49380
t=1, n=41, m=3, rp=2 ---------> 49380
t=0, n=42, m=3, rp=2 ---------> 49380
t=1, n=42, m=3, rp=2 ---------> 49380
t=0, n=43, m=3, rp=2 ---------> 49380
t=1, n=43, m=3, rp=2 ---------> 49380
t=0, n=44, m=3, rp=2 ---------> 1.27234e+10
t=1, n=44, m=3, rp=2 ---------> -9.21811e+09
t=0, n=45, m=3, rp=2 ---------> 1.82364e+10
t=1, n=45, m=3, rp=2 ---------> -7.04865e+09
t=0, n=0, m=4, rp=2 ---------> 49380
t=1, n=0, m=4, rp=2 ---------> 49380
t=0, n=1, m=4, rp=2 ---------> 49380
t=1, n=1, m=4, rp=2 ---------> 49380
t=0, n=2, m=4, rp=2 ---------> 49380
t=1, n=2, m=4, rp=2 ---------> 49380
t=0, n=3, m=4, rp=2 ---------> 49380
t=1, n=3, m=4, rp=2 ---------> 49380
t=0, n=4, m=4, rp=2 ---------> 49380
t=1, n=4, m=4, rp=2 ---------> 49380
t=0, n=5, m=4, rp=2 ---------> 49380
t=1, n=5, m=4, rp=2 ---------> 49380
t=0, n=6, m=4, rp=2 ---------> 49380
t=1, n=6, m=4, rp=2 ---------> 49380
t=0, n=7, m=4, rp=2 ---------> 49380
t=1, n=7, m=4, rp=2 ---------> 49380
t=0, n=8, m=4, rp=2 ---------> 49380
t=1, n=8, m=4, rp=2 ---------> 49380
t=0, n=9, m=4, rp=2 ---------> 49380
t=1, n=9, m=4, rp=2 ---------> 49380
t=0, n=10, m=4, rp=2 ---------> 49380
t=1, n=10, m=4, rp=2 ---------> 49380
t=0, n=11, m=4, rp=2 ---------> 49380
t=1, n=11, m=4, rp=2 ---------> 49380
t=0, n=12, m=4, rp=2 ---------> 49380
t=1, n=12, m=4, rp=2 ---------> 49380
t=0, n=13, m=4, rp=2 ---------> 49380
t=1, n=13, m=4, rp=2 ---------> 49380
t=0, n=14, m=4, rp=2 ---------> 49380
t=1, n=14, m=4, rp=2 ---------> 49380
t=0, n=15, m=4, rp=2 ---------> 49380
t=1, n=15, m=4, rp=2 ---------> 49380
t=0, n=16, m=4, rp=2 ---------> 49380
t=1, n=16, m=4, rp=2 ---------> 49380
t=0, n=17, m=4, rp=2 ---------> 49380
t=1, n=17, m=4, rp=2 ---------> 49380
t=0, n=18, m=4, rp=2 ---------> 49380
t=1, n=18, m=4, rp=2 ---------> 49380
t=0, n=19, m=4, rp=2 ---------> 49380
t=1, n=19, m=4, rp=2 ---------> 49380
t=0, n=20, m=4, rp=2 ---------> 49380
t=1, n=20, m=4, rp=2 ---------> 49380
t=0, n=21, m=4, rp=2 ---------> 49380
t=1, n=21, m=4, rp=2 ---------> 49380
t=0, n=22, m=4, rp=2 ---------> 49380
t=1, n=22, m=4, rp=2 ---------> 49380
t=0, n=23, m=4, rp=2 ---------> 49380
t=1, n=23, m=4, rp=2 ---------> 49380
t=0, n=24, m=4, rp=2 ---------> 49380
t=1, n=24, m=4, rp=2 ---------> 49380
t=0, n=25, m=4, rp=2 ---------> 49380
t=1, n=25, m=4, rp=2 ---------> 49380
t=0, n=26, m=4, rp=2 ---------> 49380
t=1, n=26, m=4, rp=2 ---------> 49380
t=0, n=27, m=4, rp=2 ---------> 49380
t=1, n=27, m=4, rp=2 ---------> 49380
t=0, n=28, m=4, rp=2 ---------> 49380
t=1, n=28, m=4, rp=2 ---------> 49380
t=0, n=29, m=4, rp=2 ---------> 49380
t=1, n=29, m=4, rp=2 ---------> 49380
t=0, n=30, m=4, rp=2 ---------> 49380
t=1, n=30, m=4, rp=2 ---------> 49380
t=0, n=31, m=4, rp=2 ---------> 49380
t=1, n=31, m=4, rp=2 ---------> 49380
t=0, n=32, m=4, rp=2 ---------> 49380
t=1, n=32, m=4, rp=2 ---------> 49380
t=0, n=33, m=4, rp=2 ---------> 49380
t=1, n=33, m=4, rp=2 ---------> 49380
t=0, n=34, m=4, rp=2 ---------> 49380
t=1, n=34, m=4, rp=2 ---------> 49380
t=0, n=35, m=4, rp=2 ---------> 49380
t=1, n=35, m=4, rp=2 ---------> 49380
t=0, n=36, m=4, rp=2 ---------> 49380
t=1, n=36, m=4, rp=2 ---------> 49380
t=0, n=37, m=4, rp=2 ---------> 49380
t=1, n=37, m=4, rp=2 ---------> 49380
t=0, n=38, m=4, rp=2 ---------> 49380
t=1, n=38, m=4, rp=2 ---------> 49380
t=0, n=39, m=4, rp=2 ---------> 49380
t=1, n=39, m=4, rp=2 ---------> 49380
t=0, n=40, m=4, rp=2 ---------> 49380
t=1, n=40, m=4, rp=2 ---------> 49380
t=0, n=41, m=4, rp=2 ---------> 49380
t=1, n=41, m=4, rp=2 ---------> 49380
t=0, n=42, m=4, rp=2 ---------> 49380
t=1, n=42, m=4, rp=2 ---------> 49380
t=0, n=43, m=4, rp=2 ---------> 49380
t=1, n=43, m=4, rp=2 ---------> 49380
t=0, n=44, m=4, rp=2 ---------> 3.58982e+10
t=1, n=44, m=4, rp=2 ---------> 1.08091e+09
t=0, n=45, m=4, rp=2 ---------> -9.6529e+09
t=1, n=45, m=4, rp=2 ---------> -4.97891e+10
t=0, n=0, m=5, rp=2 ---------> 49380
t=1, n=0, m=5, rp=2 ---------> 49380
t=0, n=1, m=5, rp=2 ---------> 49380
t=1, n=1, m=5, rp=2 ---------> 49380
t=0, n=2, m=5, rp=2 ---------> 49380
t=1, n=2, m=5, rp=2 ---------> 49380
t=0, n=3, m=5, rp=2 ---------> 49380
t=1, n=3, m=5, rp=2 ---------> 49380
t=0, n=4, m=5, rp=2 ---------> 49380
t=1, n=4, m=5, rp=2 ---------> 49380
t=0, n=5, m=5, rp=2 ---------> 49380
t=1, n=5, m=5, rp=2 ---------> 49380
t=0, n=6, m=5, rp=2 ---------> 49380
t=1, n=6, m=5, rp=2 ---------> 49380
t=0, n=7, m=5, rp=2 ---------> 49380
t=1, n=7, m=5, rp=2 ---------> 49380
t=0, n=8, m=5, rp=2 ---------> 49380
t=1, n=8, m=5, rp=2 ---------> 49380
t=0, n=9, m=5, rp=2 ---------> 49380
t=1, n=9, m=5, rp=2 ---------> 49380
t=0, n=10, m=5, rp=2 ---------> 49380
t=1, n=10, m=5, rp=2 ---------> 49380
t=0, n=11, m=5, rp=2 ---------> 49380
t=1, n=11, m=5, rp=2 ---------> 49380
t=0, n=12, m=5, rp=2 ---------> 49380
t=1, n=12, m=5, rp=2 ---------> 49380
t=0, n=13, m=5, rp=2 ---------> 49380
t=1, n=13, m=5, rp=2 ---------> 49380
t=0, n=14, m=5, rp=2 ---------> 49380
t=1, n=14, m=5, rp=2 ---------> 49380
t=0, n=15, m=5, rp=2 ---------> 49380
t=1, n=15, m=5, rp=2 ---------> 49380
t=0, n=16, m=5, rp=2 ---------> 49380
t=1, n=16, m=5, rp=2 ---------> 49380
t=0, n=17, m=5, rp=2 ---------> 49380
t=1, n=17, m=5, rp=2 ---------> 49380
t=0, n=18, m=5, rp=2 ---------> 49380
t=1, n=18, m=5, rp=2 ---------> 49380
t=0, n=19, m=5, rp=2 ---------> 49380
t=1, n=19, m=5, rp=2 ---------> 49380
t=0, n=20, m=5, rp=2 ---------> 49380
t=1, n=20, m=5, rp=2 ---------> 49380
t=0, n=21, m=5, rp=2 ---------> 49380
t=1, n=21, m=5, rp=2 ---------> 49380
t=0, n=22, m=5, rp=2 ---------> 49380
t=1, n=22, m=5, rp=2 ---------> 49380
t=0, n=23, m=5, rp=2 ---------> 49380
t=1, n=23, m=5, rp=2 ---------> 49380
t=0, n=24, m=5, rp=2 ---------> 49380
t=1, n=24, m=5, rp=2 ---------> 49380
t=0, n=25, m=5, rp=2 ---------> 49380
t=1, n=25, m=5, rp=2 ---------> 49380
t=0, n=26, m=5, rp=2 ---------> 49380
t=1, n=26, m=5, rp=2 ---------> 49380
t=0, n=27, m=5, rp=2 ---------> 49380
t=1, n=27, m=5, rp=2 ---------> 49380
t=0, n=28, m=5, rp=2 ---------> 49380
t=1, n=28, m=5, rp=2 ---------> 49380
t=0, n=29, m=5, rp=2 ---------> 49380
t=1, n=29, m=5, rp=2 ---------> 49380
t=0, n=30, m=5, rp=2 ---------> 49380
t=1, n=30, m=5, rp=2 ---------> 49380
t=0, n=31, m=5, rp=2 ---------> 49380
t=1, n=31, m=5, rp=2 ---------> 49380
t=0, n=32, m=5, rp=2 ---------> 49380
t=1, n=32, m=5, rp=2 ---------> 49380
t=0, n=33, m=5, rp=2 ---------> 49380
t=1, n=33, m=5, rp=2 ---------> 49380
t=0, n=34, m=5, rp=2 ---------> 49380
t=1, n=34, m=5, rp=2 ---------> 49380
t=0, n=35, m=5, rp=2 ---------> 49380
t=1, n=35, m=5, rp=2 ---------> 49380
t=0, n=36, m=5, rp=2 ---------> 49380
t=1, n=36, m=5, rp=2 ---------> 49380
t=0, n=37, m=5, rp=2 ---------> 49380
t=1, n=37, m=5, rp=2 ---------> 49380
t=0, n=38, m=5, rp=2 ---------> 49380
t=1, n=38, m=5, rp=2 ---------> 49380
t=0, n=39, m=5, rp=2 ---------> 49380
t=1, n=39, m=5, rp=2 ---------> 49380
t=0, n=40, m=5, rp=2 ---------> 49380
t=1, n=40, m=5, rp=2 ---------> 49380
t=0, n=41, m=5, rp=2 ---------> 49380
t=1, n=41, m=5, rp=2 ---------> 49380
t=0, n=42, m=5, rp=2 ---------> 49380
t=1, n=42, m=5, rp=2 ---------> 49380
t=0, n=43, m=5, rp=2 ---------> 49380
t=1, n=43, m=5, rp=2 ---------> 49380
t=0, n=44, m=5, rp=2 ---------> 9.42953e+09
t=1, n=44, m=5, rp=2 ---------> 1.64923e+10
t=0, n=45, m=5, rp=2 ---------> 1.32131e+10
t=1, n=45, m=5, rp=2 ---------> -1.88451e+10
t=0, n=0, m=6, rp=2 ---------> 49380
t=1, n=0, m=6, rp=2 ---------> 49380
t=0, n=1, m=6, rp=2 ---------> 49380
t=1, n=1, m=6, rp=2 ---------> 49380
t=0, n=2, m=6, rp=2 ---------> 49380
t=1, n=2, m=6, rp=2 ---------> 49380
t=0, n=3, m=6, rp=2 ---------> 49380
t=1, n=3, m=6, rp=2 ---------> 49380
t=0, n=4, m=6, rp=2 ---------> 49380
t=1, n=4, m=6, rp=2 ---------> 49380
t=0, n=5, m=6, rp=2 ---------> 49380
t=1, n=5, m=6, rp=2 ---------> 49380
t=0, n=6, m=6, rp=2 ---------> 49380
t=1, n=6, m=6, rp=2 ---------> 49380
t=0, n=7, m=6, rp=2 ---------> 49380
t=1, n=7, m=6, rp=2 ---------> 49380
t=0, n=8, m=6, rp=2 ---------> 49380
t=1, n=8, m=6, rp=2 ---------> 49380
t=0, n=9, m=6, rp=2 ---------> 49380
t=1, n=9, m=6, rp=2 ---------> 49380
t=0, n=10, m=6, rp=2 ---------> 49380
t=1, n=10, m=6, rp=2 ---------> 49380
t=0, n=11, m=6, rp=2 ---------> 49380
t=1, n=11, m=6, rp=2 ---------> 49380
t=0, n=12, m=6, rp=2 ---------> 49380
t=1, n=12, m=6, rp=2 ---------> 49380
t=0, n=13, m=6, rp=2 ---------> 49380
t=1, n=13, m=6, rp=2 ---------> 49380
t=0, n=14, m=6, rp=2 ---------> 49380
t=1, n=14, m=6, rp=2 ---------> 49380
t=0, n=15, m=6, rp=2 ---------> 49380
t=1, n=15, m=6, rp=2 ---------> 49380
t=0, n=16, m=6, rp=2 ---------> 49380
t=1, n=16, m=6, rp=2 ---------> 49380
t=0, n=17, m=6, rp=2 ---------> 49380
t=1, n=17, m=6, rp=2 ---------> 49380
t=0, n=18, m=6, rp=2 ---------> 49380
t=1, n=18, m=6, rp=2 ---------> 49380
t=0, n=19, m=6, rp=2 ---------> 49380
t=1, n=19, m=6, rp=2 ---------> 49380
t=0, n=20, m=6, rp=2 ---------> 49380
t=1, n=20, m=6, rp=2 ---------> 49380
t=0, n=21, m=6, rp=2 ---------> 49380
t=1, n=21, m=6, rp=2 ---------> 49380
t=0, n=22, m=6, rp=2 ---------> 49380
t=1, n=22, m=6, rp=2 ---------> 49380
t=0, n=23, m=6, rp=2 ---------> 49380
t=1, n=23, m=6, rp=2 ---------> 49380
t=0, n=24, m=6, rp=2 ---------> 49380
t=1, n=24, m=6, rp=2 ---------> 49380
t=0, n=25, m=6, rp=2 ---------> 49380
t=1, n=25, m=6, rp=2 ---------> 49380
t=0, n=26, m=6, rp=2 ---------> 49380
t=1, n=26, m=6, rp=2 ---------> 49380
t=0, n=27, m=6, rp=2 ---------> 49380
t=1, n=27, m=6, rp=2 ---------> 49380
t=0, n=28, m=6, rp=2 ---------> 49380
t=1, n=28, m=6, rp=2 ---------> 49380
t=0, n=29, m=6, rp=2 ---------> 49380
t=1, n=29, m=6, rp=2 ---------> 49380
t=0, n=30, m=6, rp=2 ---------> 49380
t=1, n=30, m=6, rp=2 ---------> 49380
t=0, n=31, m=6, rp=2 ---------> 49380
t=1, n=31, m=6, rp=2 ---------> 49380
t=0, n=32, m=6, rp=2 ---------> 49380
t=1, n=32, m=6, rp=2 ---------> 49380
t=0, n=33, m=6, rp=2 ---------> 49380
t=1, n=33, m=6, rp=2 ---------> 49380
t=0, n=34, m=6, rp=2 ---------> 49380
t=1, n=34, m=6, rp=2 ---------> 49380
t=0, n=35, m=6, rp=2 ---------> 49380
t=1, n=35, m=6, rp=2 ---------> 49380
t=0, n=36, m=6, rp=2 ---------> 49380
t=1, n=36, m=6, rp=2 ---------> 49380
t=0, n=37, m=6, rp=2 ---------> 49380
t=1, n=37, m=6, rp=2 ---------> 49380
t=0, n=38, m=6, rp=2 ---------> 49380
t=1, n=38, m=6, rp=2 ---------> 49380
t=0, n=39, m=6, rp=2 ---------> 49380
t=1, n=39, m=6, rp=2 ---------> 49380
t=0, n=40, m=6, rp=2 ---------> 49380
t=1, n=40, m=6, rp=2 ---------> 49380
t=0, n=41, m=6, rp=2 ---------> 49380
t=1, n=41, m=6, rp=2 ---------> 49380
t=0, n=42, m=6, rp=2 ---------> 49380
t=1, n=42, m=6, rp=2 ---------> 49380
t=0, n=43, m=6, rp=2 ---------> 49380
t=1, n=43, m=6, rp=2 ---------> 49380
t=0, n=44, m=6, rp=2 ---------> 5.55932e+10
t=1, n=44, m=6, rp=2 ---------> -3.62363e+09
t=0, n=45, m=6, rp=2 ---------> 2.9966e+10
t=1, n=45, m=6, rp=2 ---------> -4.7424e+09
t=0, n=0, m=7, rp=2 ---------> 49380
t=1, n=0, m=7, rp=2 ---------> 49380
t=0, n=1, m=7, rp=2 ---------> 49380
t=1, n=1, m=7, rp=2 ---------> 49380
t=0, n=2, m=7, rp=2 ---------> 49380
t=1, n=2, m=7, rp=2 ---------> 49380
t=0, n=3, m=7, rp=2 ---------> 49380
t=1, n=3, m=7, rp=2 ---------> 49380
t=0, n=4, m=7, rp=2 ---------> 49380
t=1, n=4, m=7, rp=2 ---------> 49380
t=0, n=5, m=7, rp=2 ---------> 49380
t=1, n=5, m=7, rp=2 ---------> 49380
t=0, n=6, m=7, rp=2 ---------> 49380
t=1, n=6, m=7, rp=2 ---------> 49380
t=0, n=7, m=7, rp=2 ---------> 49380
t=1, n=7, m=7, rp=2 ---------> 49380
t=0, n=8, m=7, rp=2 ---------> 49380
t=1, n=8, m=7, rp=2 ---------> 49380
t=0, n=9, m=7, rp=2 ---------> 49380
t=1, n=9, m=7, rp=2 ---------> 49380
t=0, n=10, m=7, rp=2 ---------> 49380
t=1, n=10, m=7, rp=2 ---------> 49380
t=0, n=11, m=7, rp=2 ---------> 49380
t=1, n=11, m=7, rp=2 ---------> 49380
t=0, n=12, m=7, rp=2 ---------> 49380
t=1, n=12, m=7, rp=2 ---------> 49380
t=0, n=13, m=7, rp=2 ---------> 49380
t=1, n=13, m=7, rp=2 ---------> 49380
t=0, n=14, m=7, rp=2 ---------> 49380
t=1, n=14, m=7, rp=2 ---------> 49380
t=0, n=15, m=7, rp=2 ---------> 49380
t=1, n=15, m=7, rp=2 ---------> 49380
t=0, n=16, m=7, rp=2 ---------> 49380
t=1, n=16, m=7, rp=2 ---------> 49380
t=0, n=17, m=7, rp=2 ---------> 49380
t=1, n=17, m=7, rp=2 ---------> 49380
t=0, n=18, m=7, rp=2 ---------> 49380
t=1, n=18, m=7, rp=2 ---------> 49380
t=0, n=19, m=7, rp=2 ---------> 49380
t=1, n=19, m=7, rp=2 ---------> 49380
t=0, n=20, m=7, rp=2 ---------> 49380
t=1, n=20, m=7, rp=2 ---------> 49380
t=0, n=21, m=7, rp=2 ---------> 49380
t=1, n=21, m=7, rp=2 ---------> 49380
t=0, n=22, m=7, rp=2 ---------> 49380
t=1, n=22, m=7, rp=2 ---------> 49380
t=0, n=23, m=7, rp=2 ---------> 49380
t=1, n=23, m=7, rp=2 ---------> 49380
t=0, n=24, m=7, rp=2 ---------> 49380
t=1, n=24, m=7, rp=2 ---------> 49380
t=0, n=25, m=7, rp=2 ---------> 49380
t=1, n=25, m=7, rp=2 ---------> 49380
t=0, n=26, m=7, rp=2 ---------> 49380
t=1, n=26, m=7, rp=2 ---------> 49380
t=0, n=27, m=7, rp=2 ---------> 49380
t=1, n=27, m=7, rp=2 ---------> 49380
t=0, n=28, m=7, rp=2 ---------> 49380
t=1, n=28, m=7, rp=2 ---------> 49380
t=0, n=29, m=7, rp=2 ---------> 49380
t=1, n=29, m=7, rp=2 ---------> 49380
t=0, n=30, m=7, rp=2 ---------> 49380
t=1, n=30, m=7, rp=2 ---------> 49380
t=0, n=31, m=7, rp=2 ---------> 49380
t=1, n=31, m=7, rp=2 ---------> 49380
t=0, n=32, m=7, rp=2 ---------> 49380
t=1, n=32, m=7, rp=2 ---------> 49380
t=0, n=33, m=7, rp=2 ---------> 49380
t=1, n=33, m=7, rp=2 ---------> 49380
t=0, n=34, m=7, rp=2 ---------> 49380
t=1, n=34, m=7, rp=2 ---------> 49380
t=0, n=35, m=7, rp=2 ---------> 49380
t=1, n=35, m=7, rp=2 ---------> 49380
t=0, n=36, m=7, rp=2 ---------> 49380
t=1, n=36, m=7, rp=2 ---------> 49380
t=0, n=37, m=7, rp=2 ---------> 49380
t=1, n=37, m=7, rp=2 ---------> 49380
t=0, n=38, m=7, rp=2 ---------> 49380
t=1, n=38, m=7, rp=2 ---------> 49380
t=0, n=39, m=7, rp=2 ---------> 49380
t=1, n=39, m=7, rp=2 ---------> 49380
t=0, n=40, m=7, rp=2 ---------> 49380
t=1, n=40, m=7, rp=2 ---------> 49380
t=0, n=41, m=7, rp=2 ---------> 49380
t=1, n=41, m=7, rp=2 ---------> 49380
t=0, n=42, m=7, rp=2 ---------> 49380
t=1, n=42, m=7, rp=2 ---------> 49380
t=0, n=43, m=7, rp=2 ---------> 49380
t=1, n=43, m=7, rp=2 ---------> 49380
t=0, n=44, m=7, rp=2 ---------> 1.04562e+10
t=1, n=44, m=7, rp=2 ---------> 4.13299e+09
t=0, n=45, m=7, rp=2 ---------> 1.46042e+10
t=1, n=45, m=7, rp=2 ---------> -2.41497e+09
t=0, n=0, m=8, rp=2 ---------> 49380
t=1, n=0, m=8, rp=2 ---------> 49380
t=0, n=1, m=8, rp=2 ---------> 49380
t=1, n=1, m=8, rp=2 ---------> 49380
t=0, n=2, m=8, rp=2 ---------> 49380
t=1, n=2, m=8, rp=2 ---------> 49380
t=0, n=3, m=8, rp=2 ---------> 49380
t=1, n=3, m=8, rp=2 ---------> 49380
t=0, n=4, m=8, rp=2 ---------> 49380
t=1, n=4, m=8, rp=2 ---------> 49380
t=0, n=5, m=8, rp=2 ---------> 49380
t=1, n=5, m=8, rp=2 ---------> 49380
t=0, n=6, m=8, rp=2 ---------> 49380
t=1, n=6, m=8, rp=2 ---------> 49380
t=0, n=7, m=8, rp=2 ---------> 49380
t=1, n=7, m=8, rp=2 ---------> 49380
t=0, n=8, m=8, rp=2 ---------> 49380
t=1, n=8, m=8, rp=2 ---------> 49380
t=0, n=9, m=8, rp=2 ---------> 49380
t=1, n=9, m=8, rp=2 ---------> 49380
t=0, n=10, m=8, rp=2 ---------> 49380
t=1, n=10, m=8, rp=2 ---------> 49380
t=0, n=11, m=8, rp=2 ---------> 49380
t=1, n=11, m=8, rp=2 ---------> 49380
t=0, n=12, m=8, rp=2 ---------> 49380
t=1, n=12, m=8, rp=2 ---------> 49380
t=0, n=13, m=8, rp=2 ---------> 49380
t=1, n=13, m=8, rp=2 ---------> 49380
t=0, n=14, m=8, rp=2 ---------> 49380
t=1, n=14, m=8, rp=2 ---------> 49380
t=0, n=15, m=8, rp=2 ---------> 49380
t=1, n=15, m=8, rp=2 ---------> 49380
t=0, n=16, m=8, rp=2 ---------> 49380
t=1, n=16, m=8, rp=2 ---------> 49380
t=0, n=17, m=8, rp=2 ---------> 49380
t=1, n=17, m=8, rp=2 ---------> 49380
t=0, n=18, m=8, rp=2 ---------> 49380
t=1, n=18, m=8, rp=2 ---------> 49380
t=0, n=19, m=8, rp=2 ---------> 49380
t=1, n=19, m=8, rp=2 ---------> 49380
t=0, n=20, m=8, rp=2 ---------> 49380
t=1, n=20, m=8, rp=2 ---------> 49380
t=0, n=21, m=8, rp=2 ---------> 49380
t=1, n=21, m=8, rp=2 ---------> 49380
t=0, n=22, m=8, rp=2 ---------> 49380
t=1, n=22, m=8, rp=2 ---------> 49380
t=0, n=23, m=8, rp=2 ---------> 49380
t=1, n=23, m=8, rp=2 ---------> 49380
t=0, n=24, m=8, rp=2 ---------> 49380
t=1, n=24, m=8, rp=2 ---------> 49380
t=0, n=25, m=8, rp=2 ---------> 49380
t=1, n=25, m=8, rp=2 ---------> 49380
t=0, n=26, m=8, rp=2 ---------> 49380
t=1, n=26, m=8, rp=2 ---------> 49380
t=0, n=27, m=8, rp=2 ---------> 49380
t=1, n=27, m=8, rp=2 ---------> 49380
t=0, n=28, m=8, rp=2 ---------> 49380
t=1, n=28, m=8, rp=2 ---------> 49380
t=0, n=29, m=8, rp=2 ---------> 49380
t=1, n=29, m=8, rp=2 ---------> 49380
t=0, n=30, m=8, rp=2 ---------> 49380
t=1, n=30, m=8, rp=2 ---------> 49380
t=0, n=31, m=8, rp=2 ---------> 49380
t=1, n=31, m=8, rp=2 ---------> 49380
t=0, n=32, m=8, rp=2 ---------> 49380
t=1, n=32, m=8, rp=2 ---------> 49380
t=0, n=33, m=8, rp=2 ---------> 49380
t=1, n=33, m=8, rp=2 ---------> 49380
t=0, n=34, m=8, rp=2 ---------> 49380
t=1, n=34, m=8, rp=2 ---------> 49380
t=0, n=35, m=8, rp=2 ---------> 49380
t=1, n=35, m=8, rp=2 ---------> 49380
t=0, n=36, m=8, rp=2 ---------> 49380
t=1, n=36, m=8, rp=2 ---------> 49380
t=0, n=37, m=8, rp=2 ---------> 49380
t=1, n=37, m=8, rp=2 ---------> 49380
t=0, n=38, m=8, rp=2 ---------> 49380
t=1, n=38, m=8, rp=2 ---------> 49380
t=0, n=39, m=8, rp=2 ---------> 49380
t=1, n=39, m=8, rp=2 ---------> 49380
t=0, n=40, m=8, rp=2 ---------> 49380
t=1, n=40, m=8, rp=2 ---------> 49380
t=0, n=41, m=8, rp=2 ---------> 49380
t=1, n=41, m=8, rp=2 ---------> 49380
t=0, n=42, m=8, rp=2 ---------> 49380
t=1, n=42, m=8, rp=2 ---------> 49380
t=0, n=43, m=8, rp=2 ---------> 49380
t=1, n=43, m=8, rp=2 ---------> 49380
t=0, n=44, m=8, rp=2 ---------> -3.53e+10
t=1, n=44, m=8, rp=2 ---------> 1.10495e+09
t=0, n=45, m=8, rp=2 ---------> -7.07355e+10
t=1, n=45, m=8, rp=2 ---------> -4.51855e+10
t=0, n=0, m=9, rp=2 ---------> 49380
t=1, n=0, m=9, rp=2 ---------> 49380
t=0, n=1, m=9, rp=2 ---------> 49380
t=1, n=1, m=9, rp=2 ---------> 49380
t=0, n=2, m=9, rp=2 ---------> 49380
t=1, n=2, m=9, rp=2 ---------> 49380
t=0, n=3, m=9, rp=2 ---------> 49380
t=1, n=3, m=9, rp=2 ---------> 49380
t=0, n=4, m=9, rp=2 ---------> 49380
t=1, n=4, m=9, rp=2 ---------> 49380
t=0, n=5, m=9, rp=2 ---------> 49380
t=1, n=5, m=9, rp=2 ---------> 49380
t=0, n=6, m=9, rp=2 ---------> 49380
t=1, n=6, m=9, rp=2 ---------> 49380
t=0, n=7, m=9, rp=2 ---------> 49380
t=1, n=7, m=9, rp=2 ---------> 49380
t=0, n=8, m=9, rp=2 ---------> 49380
t=1, n=8, m=9, rp=2 ---------> 49380
t=0, n=9, m=9, rp=2 ---------> 49380
t=1, n=9, m=9, rp=2 ---------> 49380
t=0, n=10, m=9, rp=2 ---------> 49380
t=1, n=10, m=9, rp=2 ---------> 49380
t=0, n=11, m=9, rp=2 ---------> 49380
t=1, n=11, m=9, rp=2 ---------> 49380
t=0, n=12, m=9, rp=2 ---------> 49380
t=1, n=12, m=9, rp=2 ---------> 49380
t=0, n=13, m=9, rp=2 ---------> 49380
t=1, n=13, m=9, rp=2 ---------> 49380
t=0, n=14, m=9, rp=2 ---------> 49380
t=1, n=14, m=9, rp=2 ---------> 49380
t=0, n=15, m=9, rp=2 ---------> 49380
